"Cement" "Slag" "FlyAsh" "Water" "Strength"
"54" 231.75 0 121.62 173.96 33.72916592
"55" 251.37 0 118.27 188.45 29.65436276
"56" 251.37 0 118.27 188.45 32.66047812
"57" 181.38 0 167.01 169.59 27.77209328
"58" 182.04 45.21 121.97 170.21 31.2677366
"59" 168.88 42.22 124.25 158.33 31.11605188
"60" 290.35 0 96.18 168.08 34.73580088
"61" 277.05 0 97.39 160.6 48.28400428
"62" 295.71 0 95.64 171.54 39.94134468
"63" 251.81 0 99.94 146.14 33.94290348
"64" 249.1 0 98.75 158.11 30.84715624
"65" 252.31 0 98.75 146.25 50.60064364
"66" 246.83 0 125.08 143.3 52.5035974
"67" 275.07 0 121.35 159.48 51.3314882
"68" 297.16 0 117.54 174.8 47.401475
"69" 213.74 0 174.74 154.79 40.14818748
"70" 213.5 0 174.24 154.61 45.93978588
"71" 277.19 97.82 24.46 160.7 63.14221208
"72" 218.23 54.64 123.78 140.75 55.50971276
"73" 214.9 53.8 121.89 155.63 52.20022796
"74" 218.85 0 124.13 158.49 30.21973308
"75" 376 0 0 214.6 31.97100212
"76" 500 0 0 140 67.568648
"77" 475 0 59 142 57.226508
"78" 315 137 0 145 81.75116932
"79" 505 0 60 195 64.0178466
"80" 451 0 0 165 78.80021204
"81" 516 0 0 162 41.36856
"82" 520 0 0 170 60.28088668
"83" 528 0 0 185 56.83350668
"84" 520 0 0 175 51.021224
"85" 385 0 136 158 55.55108132
"86" 500.1 0 0 200 44.13335876
"87" 450.1 50 0 200 39.37597436
"88" 397 17.2 158 167 55.64760796
"89" 333 17.5 163 167 47.27736932
"90" 334 17.6 158 189 44.32641204
"91" 405 0 0 175 52.30364936
"92" 200 200 0 190 49.24927068
"93" 516 0 0 162 41.36856
"94" 145 116 119 184 29.15794004
"95" 160 128 122 182 39.39665864
"96" 234 156 0 189 39.300132
"97" 250 180 95 159 67.86512268
"98" 475 0 0 162 58.52272288
"99" 285 190 0 163 53.57917996
"100" 356 119 0 160 58.99846132
"101" 275 180 120 162 76.23536132
"102" 500 0 0 151 69.83702404
"103" 165 0.02 143.57 163.81 26.200088
"104" 165 128.5 132.1 175.06 46.38794528
"105" 178.03 129.8 118.6 179.94 39.1622368
"106" 167.35 129.9 128.62 175.46 41.20308576
"107" 172.38 13.61 172.37 156.76 33.68779736
"108" 173.54 50.05 173.53 164.77 38.20386516
"109" 167 75.4 167 164.03 41.40992856
"110" 173.81 93.37 159.9 172.34 37.81086384
"111" 190.34 0 125.18 166.61 24.84871504
"112" 250 0 95.69 191.84 27.22051248
"113" 213.5 0 174.24 159.21 44.63667624
"114" 194.68 0 100.52 170.17 37.2661778
"115" 251.37 0 118.27 192.94 33.27411176
"116" 446 24 79 162 57.02655996
"117" 446 24 79 162 44.42293868
"118" 446 24 79 162 51.021224
"119" 446 24 79 162 53.38612668
"120" 387 20 94 157 50.23522136
"121" 387 20 94 157 46.68441996
"122" 387 20 94 157 46.68441996
"123" 355 19 97 145 44.02993736
"124" 355 19 97 145 55.45455468
"125" 491 26 123 210 55.55108132
"126" 491 26 123 201 57.915984
"127" 424 22 132 178 62.05284
"128" 424 22 132 168 72.09850532
"129" 202 11 141 206 21.96670536
"130" 284 15 141 179 43.73346268
"131" 359 19 141 154 62.93536928
"132" 359 19 141 154 59.49488404
"133" 436 0 0 218 23.84897484
"134" 393 0 0 192 39.604880392
"135" 480 0 0 192 43.942373908
"136" 255 0 0 192 18.746162964
"137" 333 0 0 192 31.966865264
"138" 289 0 0 192 25.573354316
"139" 181.9 272.8 0 185.7 27.935499092
"140" 193.5 290.2 0 185.7 32.626693796
"141" 239.6 359.4 0 185.7 39.435269296
"142" 220.8 147.2 0 185.7 25.74503384
"143" 397 0 0 185.7 33.082437432
"144" 158.8 238.2 0 185.7 21.066249704
"145" 255.5 170.3 0 185.7 32.051670812
"146" 381.4 0 0 185.7 22.489328168
"147" 295.8 0 0 185.7 25.216895224
"148" 228 342.1 0 185.7 39.699338604
"149" 316.1 210.7 0 185.7 38.70028788
"150" 238.1 0 0 185.7 17.576122192
"151" 135.7 203.5 0 185.7 18.19871902
"152" 203.5 135.7 0 185.7 22.629981272
"153" 170.3 155.5 0 185.7 25.726417988
"154" 210.7 316.1 0 185.7 37.813621744
"155" 290.2 193.5 0 185.7 33.0431373
"156" 238.2 158.8 0 185.7 26.91369566
"157" 339.2 0 0 185.7 31.899986092
"158" 252.5 0 0 185.7 19.765208492
"159" 382.5 0 0 185.7 37.437857324
"160" 186.2 124.1 0 185.7 17.596806472
"161" 272.8 181.9 0 185.7 31.38150014
"162" 339 0 0 197 32.03994972
"163" 236 0 0 194 18.41590396
"164" 277 0 0 191 25.96566616
"165" 307 0 0 193 27.53077668
"166" 200 0 0 180 12.24509376
"167" 225 0 0 181 17.3403214
"168" 325 0 0 184 30.57136584
"169" 275 0 0 183 24.49708228
"170" 300 0 0 184 26.84819544
"171" 375 0 0 186 38.21075992
"172" 400 0 0 187 43.69898888
"173" 250 0 0 182 20.87043852
"174" 350 0 0 186 34.29453624
"175" 141.3 212 0 203.5 29.89223198
"176" 122.6 183.9 0 203.5 24.290928956
"177" 166.8 250.2 0 203.5 33.947729812
"178" 108.3 162.4 0 203.5 20.593958644
"179" 157 236 0 192 33.664355176
"180" 133 200 0 192 27.874825204
"181" 192 288 0 192 39.321505756
"182" 305.3 203.5 0 203.5 43.377003588
"183" 288 192 0 192 38.804398756
"184" 212 141.3 0 203.5 33.003837168
"185" 102 153 0 192 17.275510656
"186" 173 116 0 192 24.281965768
"187" 183.9 122.6 0 203.5 24.046164976
"188" 153 102 0 192 17.96429718
"189" 236 157 0 192 32.88455782
"190" 116 173 0 192 22.347985588
"191" 203.5 305.3 0 203.5 41.684340008
"192" 200 133 0 192 30.439675924
"193" 250.2 166.8 0 203.5 36.964187312
"194" 310 0 0 192 27.82725136
"195" 331 0 0 192 31.74347504
"196" 349 0 0 192 33.60506024
"197" 238 0 0 186 17.54026944
"198" 296 0 0 186 25.17966352
"199" 480 0 0 192 43.89204216
"200" 397 0 0 186 36.93522932
"201" 281 0 0 185 22.43554904
"202" 500 0 0 200 44.0919902
"203" 540 0 0 173 67.30664712
"204" 350 0 0 203 27.3377234
"205" 385 0 0 186 31.35047372
"206" 382 0 0 186 37.42475728
"207" 281 0 0 186 22.43554904
"208" 339 0 0 185 31.84000168
"209" 295 0 0 185 25.17966352
"210" 238 0 0 185 17.54026944
"211" 296 0 0 192 21.6495464
"212" 331 0 0 192 31.44700036
"213" 349 0 0 192 32.72253096
"214" 252 0 0 185 19.69143456
"215" 339 0 0 185 31.6469484
"216" 393 0 0 192 39.58281716
"217" 382 0 0 185 37.42475728
"218" 252 0 0 185 19.69143456
"219" 310 0 0 192 27.923778
"220" 525 0 0 189 55.94408264
"221" 322 0 0 203 25.17966352
"222" 302 0 0 203 21.7529678
"223" 397 0 0 185 39.0932892
"224" 522 0 0 146 74.98740976
"225" 273 105 82 210 37.16965116
"226" 162 190 148 179 33.75674496
"227" 154 144 112 220 16.49916068
"228" 147 115 89 202 19.98790924
"229" 152 178 139 168 36.34917472
"230" 310 143 111 168 33.68779736
"231" 144 0 175 158 15.41668336
"232" 304 140 0 214 33.41890172
"233" 374 0 0 190 39.05192064
"234" 159 149 116 175 27.67556664
"235" 153 239 0 200 26.8550902
"236" 310 143 0 168 45.2985732
"237" 305 0 100 196 30.12320644
"238" 151 0 184 167 15.56836808
"239" 142 167 130 174 44.6090972
"240" 298 137 107 201 53.52402188
"241" 321 164 0 190 57.21271848
"242" 366 187 0 191 65.90701084
"243" 280 129 100 172 52.82075636
"244" 252 97 76 194 33.39821744
"245" 165 0 150 182 18.0297974
"246" 156 243 0 180 37.36270444
"247" 160 188 146 203 32.83974188
"248" 298 0 107 186 42.63719584
"249" 318 0 126 210 40.0585556
"250" 287 121 94 188 41.94082508
"251" 326 166 0 174 61.23236356
"252" 356 0 142 193 40.86524252
"253" 132 207 161 179 33.3016908
"254" 322 149 0 186 52.42086028
"255" 164 0 200 181 15.08573488
"256" 314 0 113 170 38.45897128
"257" 321 0 128 182 37.25928304
"258" 140 164 128 237 35.22532884
"259" 288 121 0 177 42.13387836
"260" 298 0 107 210 31.87447548
"261" 265 111 86 195 41.540929
"262" 160 250 0 168 39.45181672
"263" 166 260 0 183 37.91428524
"264" 276 116 90 180 44.27814872
"265" 322 0 116 196 31.17810472
"266" 149 139 109 193 23.69039536
"267" 159 187 0 176 32.76389952
"268" 261 100 78 201 32.39847724
"269" 237 92 71 247 28.62704352
"270" 313 0 113 178 36.80422888
"271" 155 183 0 193 18.28490352
"272" 146 230 0 202 33.0603742
"273" 296 0 107 221 31.41942132
"274" 133 210 0 196 31.02642
"275" 313 145 0 178 44.38846488
"276" 152 0 112 184 12.17614616
"277" 153 145 113 178 25.55887532
"278" 140 133 103 200 36.4388066
"279" 149 236 0 176 32.9569528
"280" 300 0 120 212 23.83518532
"281" 153 145 113 178 26.22766704
"282" 148 0 137 158 17.95395504
"283" 326 0 138 199 40.679084
"284" 153 145 0 178 19.00885332
"285" 262 111 86 195 33.7153764
"286" 158 0 195 220 8.53571288
"287" 151 0 185 167 13.45857152
"288" 273 0 90 199 32.23989776
"289" 149 118 92 183 23.51802636
"290" 143 169 143 191 29.72331036
"291" 260 101 78 171 49.77327244
"292" 313 161 0 178 52.44154456
"293" 284 120 0 168 40.93419012
"294" 336 0 0 182 44.86420332
"295" 145 0 134 181 13.19657064
"296" 150 237 0 174 37.43165204
"297" 144 170 133 192 29.86810032
"298" 331 170 0 195 56.61287436
"299" 155 0 143 193 12.45883132
"300" 155 183 0 193 23.786922
"301" 135 0 166 180 13.29309728
"302" 266 112 87 178 39.41734292
"303" 314 145 113 179 46.2293658
"304" 313 145 0 127 44.51946532
"305" 146 173 0 182 23.73865868
"306" 144 136 106 178 26.14492992
"307" 148 0 182 181 15.52010476
"308" 277 117 91 191 43.5748832
"309" 298 0 107 164 35.85964676
"310" 313 145 0 178 41.05140104
"311" 155 184 143 194 28.98557104
"312" 289 134 0 195 46.24315532
"313" 148 175 0 171 26.91714304
"314" 145 0 179 202 10.53519328
"315" 313 0 0 178 25.0969264
"316" 136 162 126 172 29.06830816
"317" 155 0 143 193 9.73540112
"318" 255 99 77 189 33.79811352
"319" 162 207 172 216 39.84481804
"320" 136 196 98 199 26.96540636
"321" 164 163 128 197 27.234302
"322" 162 214 164 202 30.6472082
"323" 157 214 152 200 33.05347944
"324" 149 153 194 192 24.5798194
"325" 135 105 193 196 21.91154728
"326" 159 209 161 201 30.88163004
"327" 144 15 195 176 15.340841
"328" 154 174 185 228 24.3385028
"329" 167 187 195 185 23.8903434
"330" 184 86 190 213 22.93197176
"331" 156 178 187 221 29.41304616
"332" 236.9 91.7 71.5 246.9 28.629801424
"333" 313.3 0 113 178.5 36.804918356
"334" 154.8 183.4 0 193.3 18.287661424
"335" 145.9 230.5 0 202.5 32.720462532
"336" 296 0 106.7 221.4 31.420110796
"337" 133.1 210.2 0 195.7 28.937997196
"338" 313.3 145 0 178.5 40.925226932
"339" 151.6 0 111.9 184.4 12.180972492
"340" 153.1 145 113 178.5 25.559564796
"341" 139.9 132.6 103.3 200.3 36.443632932
"342" 149.5 236 0 175.8 32.96384756
"343" 299.8 0 119.8 211.5 23.835874796
"344" 153.1 145 113 178.5 26.233182848
"345" 148.1 0 136.6 158.1 17.959470848
"346" 326.5 0 137.9 199 38.630650804
"347" 152.7 144.7 0 178.1 19.009542796
"348" 261.9 110.5 86.1 195.4 33.71882378
"349" 158.4 0 194.9 219.7 8.536402356
"350" 150.7 0 185.3 166.7 13.461329424
"351" 272.6 0 89.6 198.7 32.245413568
"352" 149 117.6 91.7 182.9 23.524231644
"353" 143 169.4 142.7 190.7 29.726068264
"354" 259.9 100.6 78.4 170.6 49.77327244
"355" 312.9 160.5 0 177.6 52.446370892
"356" 284 119.7 0 168.3 40.934879596
"357" 336.5 0 0 181.9 44.868340176
"358" 144.8 0 133.6 180.8 13.202086448
"359" 150 236.8 0 173.8 37.43165204
"360" 143.7 170.2 132.6 191.6 29.870858224
"361" 330.5 169.6 0 194.9 56.619079644
"362" 154.8 0 142.8 193.3 12.459520796
"363" 154.8 183.4 0 193.3 23.786922
"364" 134.7 0 165.7 180.2 13.293786756
"365" 266.2 112.3 87.5 177.9 39.421479776
"366" 314 145.3 113.2 178.9 46.234192132
"367" 312.7 144.7 0 127.3 44.523602176
"368" 145.7 172.6 0 181.9 23.744174488
"369" 143.8 136.3 106.2 178.1 26.147687824
"370" 148.1 0 182.1 181.4 15.526310044
"371" 277 116.8 91 190.6 43.57833058
"372" 298.1 0 107.5 163.6 35.865852044
"373" 313.3 145 0 178.5 41.053469468
"374" 155.2 183.9 143.2 193.8 28.991086848
"375" 289 133.7 0 194.9 46.247292176
"376" 147.8 175.1 0 171.2 26.922658848
"377" 145.4 0 178.9 201.7 10.535882756
"378" 312.7 0 0 178.1 25.10382116
"379" 136.4 161.6 125.8 171.6 29.073134492
"380" 154.8 0 142.8 193.3 9.738159024
"381" 255.3 98.8 77 188.6 33.798802996
"382" 272.8 105.1 81.8 209.7 37.171030112
"383" 162 190.1 148.1 178.8 33.762260768
"384" 153.6 144.2 112.3 220.1 16.503987012
"385" 146.5 114.6 89.3 201.9 19.98790924
"386" 151.8 178.1 138.7 167.5 36.349864196
"387" 309.9 142.8 111.2 167.8 38.215586252
"388" 143.6 0 174.9 158.4 15.42357812
"389" 303.6 139.9 0 213.5 33.419591196
"390" 374.3 0 0 190.2 39.056057496
"391" 158.6 148.9 116 175.1 27.681082448
"392" 152.6 238.7 0 200 26.859916532
"393" 310 142.8 0 167.9 45.304778484
"394" 304.8 0 99.6 196 30.12320644
"395" 150.9 0 183.9 166.6 15.569747032
"396" 141.9 166.6 129.7 173.5 44.611855104
"397" 297.8 137.2 106.9 201.3 53.524711356
"398" 321.3 164.2 0 190.5 57.218234288
"399" 366 187 0 191.3 65.909079268
"400" 279.8 128.9 100.4 172.4 52.826961644
"401" 252.1 97.1 75.6 193.8 33.399596392
"402" 164.6 0 150.4 181.6 18.033934256
"403" 155.6 243.5 0 180.3 37.363393916
"404" 160.2 188 146.4 203.2 35.314271244
"405" 298.1 0 107 186.4 42.6440906
"406" 317.9 0 126.5 209.7 40.06200298
"407" 287.3 120.5 93.9 187.6 43.798273424
"408" 325.6 166.4 0 174 61.23581094
"409" 355.9 0 141.6 193.3 40.8686899
"410" 132 206.5 160.9 178.9 33.306517132
"411" 322.5 148.6 0 185.8 52.426376088
"412" 164.2 0 200.1 181.2 15.091250688
"413" 313.8 0 112.6 169.9 38.461039708
"414" 321.4 0 127.9 182.5 37.265488324
"415" 139.7 163.9 127.7 236.7 35.22532884
"416" 288.4 121 0 177.4 42.140083644
"417" 298.2 0 107 209.7 31.875164956
"418" 264.5 111 86.5 195.5 41.542307952
"419" 159.8 250 0 168.4 39.455953576
"420" 166 259.7 0 183.2 37.917043144
"421" 276.4 116 90.3 179.6 44.284354004
"422" 322.2 0 115.6 196 31.178794196
"423" 148.5 139.4 108.6 192.7 23.696600644
"424" 159.1 186.7 0 175.6 32.768036376
"425" 260.9 100.5 78.3 200.6 32.401235144
